ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
597819,Cricket,Rita Debbarma,India,1995,Alive,,Female,India Green Women
597803,Cricket,Ritu Dhrub,India,1994,Alive,,Female,"['India Red Women,', 'India Women']"
474710,Cricket,Rituraj Singh,India,1990,Alive,,Male,"['Central Zone,', 'India A,', 'Rajasthan,', 'Rajasthan Cricket Association XI']"
799385,Cricket,Rizu Saha,India,1996,Alive,,Female,India A Women
33769,Cricket,RK Sabharwal,India,1978,Alive,,Male,"['Hyderabad (India),', 'Royal Challengers Bangalore']"
26413,Cricket,Robert Anstruther,India,1879,Dead,"August 27, 1945, Colinsburgh, Fife, Scotland (aged 66 years 24 days) ",Male,Europeans (India)
27711,Cricket,Robert Carrick,India,1892,Dead,"September 4, 1945, Ootacamund (now Udagamandalam), Madras (aged 53 years 87 days) ",Male,"['Europeans (India),', 'Madras']"
27715,Cricket,Robert Cassels,India,1876,Dead,"December 23, 1959, Copthorne, Surrey, England (aged 83 years 283 days) ",Male,Europeans (India)
28196,Cricket,Robert Denniston,India,1890,Dead,"November 19, 1946, Hythe, Kent, England (aged 56 years 320 days) ",Male,Europeans (India)
28197,Cricket,Robert Dewing,India,1863,Dead,"November 6, 1934, Ipswich, Suffolk, England (aged 71 years 92 days) ",Male,Europeans (India)
25455,Cricket,Robert Fairbairn,Scotland,1910,Dead,"March 26, 1988, Guildford, Surrey (aged 77 years 183 days) ",Male,"['Scotland,', 'Europeans (India)']"
28962,Cricket,Robert Gourlay,India,1904,Dead,"1951, Midhurst, Sussex, England (aged 46 years) ",Male,"['Bengal,', 'Europeans (India)']"
29324,Cricket,Robert Hair,India,1867,Dead,details unknown ,Male,Europeans (India)
31174,Cricket,Robert Moss,India,1914,Dead,"January 16, 1977, La Marette, Alderney, Channel Islands (aged 62 years 187 days) ",Male,"['Europeans (India),', 'Mumbai']"
32458,Cricket,Robert Phayre,India,1901,Dead,"December 31, 1993, Camberley, Surrey, England (aged 92 years 361 days) ",Male,Europeans (India)
32461,Cricket,Robert Philpot-Brookes,India,1912,Dead,"May 29, 1940, St Eloi, France (aged 27 years 292 days) ",Male,Europeans (India)
46776,Cricket,Robert Poore,South Africa,1866,Dead,"July 14, 1938, Boscombe, Hampshire, England (aged 72 years 116 days) ",Male,"['South Africa,', 'Europeans (India),', 'Hampshire']"
52839,Cricket,Robert Richmond,West Indies,1879,Dead,"May 1, 1948, Efford Mill, Everton, Hampshire, England (aged 68 years 185 days) ",Male,"['Europeans (India),', 'Jamaica']"
34462,Cricket,Robert Summerhayes,India,1903,Dead,"June 7, 1983 (aged 80 years 86 days) ",Male,Europeans (India)
35969,Cricket,Robert Whitehead,India,1922,Dead,"July 31, 1968, Melbourne, Victoria, Australia (aged 46 years 83 days) ",Male,Europeans (India)
262464,Cricket,Robin Bist,India,1987,Alive,,Male,"['Central Zone,', 'Delhi Daredevils,', 'India A,', 'Rajasthan,', ""Rajasthan Cricket Association President's XI""]"
46750,Cricket,Robin Peterson,South Africa,1979,Alive,,Male,"['South Africa,', 'Barbados Tridents,', 'Cape Cobras,', 'Derbyshire,', 'Eastern Province,', 'Mumbai Indians,', 'Surrey,', 'Warriors']"
34059,Cricket,Robin Singh,India,1963,Alive,,Male,"['India,', 'South Trinidad,', 'Tamil Nadu,', 'Trinidad']"
34060,Cricket,Robin Singh,India,1970,Alive,,Male,"['India,', 'Delhi']"
35582,Cricket,Robin Uthappa,India,1985,Alive,,Male,"['India,', 'India A,', 'India Under-19s,', 'Karnataka,', 'Kolkata Knight Riders,', 'Mumbai Indians,', 'Pune Warriors,', 'Reebok XI,', 'Royal Challengers Bangalore,', 'South Zone']"
26948,Cricket,Roger Binny,India,1955,Alive,,Male,"['India,', 'Goa,', 'Karnataka']"
28947,Cricket,Roger Garnons-Williams,India,1891,Dead,"January 15, 1961, Midhurst, Sussex, England (aged 69 years 155 days) ",Male,Europeans (India)
27014,Cricket,Rohan Banerjee,India,1988,Alive,,Male,"['Bengal Under-14s,', 'India Under-19s,', 'Kolkata Knight Riders']"
28792,Cricket,Rohan Gavaskar,India,1976,Alive,,Male,"['India,', 'Bengal,', 'ICL India XI,', 'Kolkata Knight Riders,', 'Kolkata Tigers']"
422692,Cricket,Rohan Kerkar,India,1990,Alive,,Male,Air India Red
32486,Cricket,Rohan Prem,India,1986,Alive,,Male,"['India Green,', 'India Under-19s,', ""Indian Board President's XI,"", 'Kerala,', 'Kerala Under-14s,', 'Kerala Under-19s,', 'South Zone']"
290713,Cricket,Rohan Raje,India,1986,Alive,,Male,"['Mumbai,', 'Mumbai Indians']"
26941,Cricket,Rohit Bharadwaj,India,1986,Alive,,Male,Hyderabad (India)
1175430,Cricket,Rohit Dattatraya,India,2001,Alive,,Male,India Under-19s
1083493,Cricket,Rohit Rayudu,India,1994,Alive,,Male,"['Hyderabad (India),', 'Hyderabad Under-16s,', 'Hyderabad Under-19s,', 'Hyderabad Under-22s,', 'Hyderabad Under-25s']"
